country,eventID,startDate,endDate
Albania,4363,2022-03-17T00:00:00.000+00:00,2022-04-08T00:00:00.000+00:00
Albania,3760,2021-05-21T00:00:00.000+00:00,2022-06-15T00:00:00.000+00:00
India,3495,2021-01-01T00:00:00.000+00:00,2023-02-18T00:00:00.000+00:00
Iraq,4477,2022-05-18T00:00:00.000+00:00,2022-06-16T00:00:00.000+00:00
Israel,4437,2022-04-15T00:00:00.000+00:00,2022-05-08T00:00:00.000+00:00
Japan,4038,2021-11-09T00:00:00.000+00:00,2022-06-23T00:00:00.000+00:00
Algeria,3631,2021-02-22T00:00:00.000+00:00,2021-02-22T00:00:00.000+00:00
Algeria,3548,2021-01-17T00:00:00.000+00:00,2021-03-15T00:00:00.000+00:00
Estonia,3571,2021-02-17T00:00:00.000+00:00,2021-11-22T00:00:00.000+00:00
China (People's Rep. of),3757,2021-05-28T00:00:00.000+00:00,2021-08-10T00:00:00.000+00:00
China (People's Rep. of),3727,2021-05-11T00:00:00.000+00:00,2021-07-21T00:00:00.000+00:00
China (People's Rep. of),3545,2021-01-29T00:00:00.000+00:00,2021-04-06T00:00:00.000+00:00
China (People's Rep. of),3535,2021-01-25T00:00:00.000+00:00,2021-03-30T00:00:00.000+00:00
China (People's Rep. of),3775,2021-06-11T00:00:00.000+00:00,2021-08-22T00:00:00.000+00:00
United Kingdom,4350,2021-11-07T00:00:00.000+00:00,2021-11-07T00:00:00.000+00:00
Philippines,4370,2022-02-28T00:00:00.000+00:00,2022-03-08T00:00:00.000+00:00
Denmark,4412,2021-09-30T00:00:00.000+00:00,2021-09-30T00:00:00.000+00:00
Sweden,4021,2021-10-13T00:00:00.000+00:00,2021-10-13T00:00:00.000+00:00
China (People's Rep. of),3417,2020-11-19T00:00:00.000+00:00,2021-01-28T00:00:00.000+00:00
Vietnam,3790,2021-06-03T00:00:00.000+00:00,2022-01-22T00:00:00.000+00:00
Luxembourg,3929,2021-09-03T00:00:00.000+00:00,
Denmark,4211,2021-12-13T00:00:00.000+00:00,2022-01-03T00:00:00.000+00:00
Denmark,4239,2022-01-06T00:00:00.000+00:00,2022-01-08T00:00:00.000+00:00
Slovenia,3406,2020-11-17T00:00:00.000+00:00,2020-12-11T00:00:00.000+00:00
Belgium,3916,2021-08-28T00:00:00.000+00:00,2022-02-09T00:00:00.000+00:00
Latvia,3550,2021-02-09T00:00:00.000+00:00,2021-03-17T00:00:00.000+00:00
Finland,3505,2021-01-15T00:00:00.000+00:00,2021-11-19T00:00:00.000+00:00
Iran,4121,2021-11-25T00:00:00.000+00:00,2021-12-31T00:00:00.000+00:00
Lithuania,3480,2021-01-08T00:00:00.000+00:00,2021-07-07T00:00:00.000+00:00
Italy,3517,2021-01-21T00:00:00.000+00:00,2021-02-12T00:00:00.000+00:00
Italy,3405,2020-11-12T00:00:00.000+00:00,2021-04-02T00:00:00.000+00:00
India,4135,2021-11-28T00:00:00.000+00:00,
Netherlands,4068,2021-11-09T00:00:00.000+00:00,
Japan,4095,2021-11-19T00:00:00.000+00:00,
Netherlands,3887,2021-08-12T00:00:00.000+00:00,2021-11-06T00:00:00.000+00:00
Iraq,3502,2021-01-12T00:00:00.000+00:00,2021-11-05T00:00:00.000+00:00
France,3944,2021-09-04T00:00:00.000+00:00,2021-09-15T00:00:00.000+00:00
Norway,3419,2020-11-22T00:00:00.000+00:00,2022-01-10T00:00:00.000+00:00
Sweden,3415,2020-10-30T00:00:00.000+00:00,2021-08-21T00:00:00.000+00:00
Serbia,4011,2021-09-20T00:00:00.000+00:00,2021-12-15T23:00:00.000+00:00
Poland,3425,2020-12-01T00:00:00.000+00:00,2021-08-27T00:00:00.000+00:00
Poland,3427,2020-12-03T00:00:00.000+00:00,2021-06-01T00:00:00.000+00:00
China (People's Rep. of),3507,2021-01-13T00:00:00.000+00:00,2021-03-20T00:00:00.000+00:00
Poland,3404,2020-11-23T00:00:00.000+00:00,2021-09-25T00:00:00.000+00:00
Korea (Rep. of),3358,2020-10-21T00:00:00.000+00:00,
Slovakia,3478,2021-01-08T00:00:00.000+00:00,2021-04-01T00:00:00.000+00:00
India,3955,2021-01-11T00:00:00.000+00:00,
India,3477,2020-12-21T00:00:00.000+00:00,
India,3941,2021-01-08T00:00:00.000+00:00,
India,3940,2021-01-17T00:00:00.000+00:00,
Lithuania,3740,2021-05-28T00:00:00.000+00:00,2021-08-30T00:00:00.000+00:00
Iran,3444,2020-12-05T00:00:00.000+00:00,2021-09-10T00:00:00.000+00:00
Pakistan,3933,2021-08-05T00:00:00.000+00:00,2021-08-10T00:00:00.000+00:00
India,3928,2020-12-27T00:00:00.000+00:00,
Nepal,3529,2021-01-21T00:00:00.000+00:00,2021-09-03T00:00:00.000+00:00
France,3387,2020-11-07T00:00:00.000+00:00,2021-08-04T00:00:00.000+00:00
France,3424,2020-11-18T00:00:00.000+00:00,2021-07-08T00:00:00.000+00:00
Belgium,3388,2020-11-04T00:00:00.000+00:00,2021-07-06T00:00:00.000+00:00
Germany,3510,2021-01-13T00:00:00.000+00:00,2021-04-30T00:00:00.000+00:00
United Kingdom,3379,2020-11-03T00:00:00.000+00:00,2021-05-20T00:00:00.000+00:00
Germany,3735,2021-03-02T00:00:00.000+00:00,2021-05-18T00:00:00.000+00:00
Germany,3416,2020-11-13T00:00:00.000+00:00,2021-05-07T00:00:00.000+00:00
Germany,3394,2020-11-12T00:00:00.000+00:00,2021-05-15T00:00:00.000+00:00
Germany,3377,2020-11-02T00:00:00.000+00:00,2021-07-29T00:00:00.000+00:00
Germany,3372,2020-11-04T00:00:00.000+00:00,2021-05-07T00:00:00.000+00:00
Germany,3363,2020-10-30T00:00:00.000+00:00,2021-06-26T00:00:00.000+00:00
United Kingdom,3364,2020-10-24T00:00:00.000+00:00,2021-08-05T00:00:00.000+00:00
Germany,3439,2020-12-08T00:00:00.000+00:00,2021-05-12T00:00:00.000+00:00
India,3935,2021-01-11T00:00:00.000+00:00,
Germany,3412,2020-11-20T00:00:00.000+00:00,2021-04-20T00:00:00.000+00:00
Germany,3356,2020-10-26T00:00:00.000+00:00,2021-05-26T00:00:00.000+00:00
Ireland,3376,2020-10-29T00:00:00.000+00:00,2021-02-16T00:00:00.000+00:00
Germany,3378,2020-11-06T00:00:00.000+00:00,2021-04-22T00:00:00.000+00:00
Netherlands,3862,2021-08-03T00:00:00.000+00:00,2021-08-16T00:00:00.000+00:00
Poland,3436,2020-12-08T00:00:00.000+00:00,2021-07-30T00:00:00.000+00:00
Denmark,3794,2021-07-04T00:00:00.000+00:00,2021-07-07T00:00:00.000+00:00
Germany,3414,2020-11-16T00:00:00.000+00:00,2021-01-13T00:00:00.000+00:00
Czech Republic,3509,2021-01-20T00:00:00.000+00:00,2021-04-20T00:00:00.000+00:00
Netherlands,3355,2020-10-29T00:00:00.000+00:00,2021-07-16T00:00:00.000+00:00
Japan,3458,2020-12-03T00:00:00.000+00:00,2021-06-30T00:00:00.000+00:00
Japan,3366,2020-11-04T00:00:00.000+00:00,2021-06-30T00:00:00.000+00:00
Germany,3483,2021-01-05T00:00:00.000+00:00,2021-05-07T00:00:00.000+00:00
Czech Republic,3514,2021-01-20T00:00:00.000+00:00,2021-05-28T00:00:00.000+00:00
Germany,3401,2020-11-19T00:00:00.000+00:00,2021-06-10T00:00:00.000+00:00
Germany,3395,2020-11-16T00:00:00.000+00:00,2021-07-25T00:00:00.000+00:00
Germany,3645,2021-03-16T00:00:00.000+00:00,2021-04-30T00:00:00.000+00:00
Germany,3642,2021-03-01T00:00:00.000+00:00,2021-06-30T00:00:00.000+00:00
Germany,3737,2021-05-23T00:00:00.000+00:00,2021-06-27T00:00:00.000+00:00
Germany,3469,2020-12-27T00:00:00.000+00:00,2021-04-29T00:00:00.000+00:00
Germany,3643,2021-03-01T00:00:00.000+00:00,2021-04-02T00:00:00.000+00:00
Germany,3528,2021-01-28T00:00:00.000+00:00,2021-05-06T00:00:00.000+00:00
Germany,3369,2020-11-04T00:00:00.000+00:00,2021-04-18T00:00:00.000+00:00
Netherlands,3341,2020-10-17T00:00:00.000+00:00,2021-07-07T00:00:00.000+00:00
Germany,3385,2020-11-11T00:00:00.000+00:00,2021-05-17T00:00:00.000+00:00
Romania,3702,2021-05-05T00:00:00.000+00:00,2021-06-14T00:00:00.000+00:00
Kuwait,3594,2021-03-08T00:00:00.000+00:00,2021-03-21T00:00:00.000+00:00
Germany,3462,2020-12-24T00:00:00.000+00:00,2021-04-29T00:00:00.000+00:00
Germany,3651,2021-03-22T00:00:00.000+00:00,2021-06-10T00:00:00.000+00:00
Denmark,3435,2020-12-07T00:00:00.000+00:00,2021-02-06T00:00:00.000+00:00
Serbia,3762,2021-03-06T00:00:00.000+00:00,2021-04-29T00:00:00.000+00:00
Denmark,3380,2020-10-31T00:00:00.000+00:00,2021-05-05T00:00:00.000+00:00
Germany,3516,2021-01-20T00:00:00.000+00:00,2021-04-01T00:00:00.000+00:00
Israel,3332,2020-10-12T00:00:00.000+00:00,2021-04-09T00:00:00.000+00:00
Russia,3313,2020-09-18T00:00:00.000+00:00,2021-05-11T00:00:00.000+00:00
Greece,3633,2021-03-22T00:00:00.000+00:00,2021-06-02T00:00:00.000+00:00
Sweden,3472,2021-01-02T00:00:00.000+00:00,2021-04-26T00:00:00.000+00:00
Italy,3513,2021-01-22T00:00:00.000+00:00,2021-05-27T00:00:00.000+00:00
Ukraine,3547,2021-02-01T00:00:00.000+00:00,2021-03-26T00:00:00.000+00:00
Ukraine,3461,2020-12-23T00:00:00.000+00:00,2021-03-15T00:00:00.000+00:00
Denmark,3391,2020-11-15T00:00:00.000+00:00,2021-04-22T00:00:00.000+00:00
Croatia,3398,2020-11-17T00:00:00.000+00:00,2021-02-03T00:00:00.000+00:00
Croatia,3604,2021-03-01T00:00:00.000+00:00,2021-05-10T00:00:00.000+00:00
Finland,3551,2021-02-08T00:00:00.000+00:00,2021-02-12T00:00:00.000+00:00
Austria,3544,2021-02-04T00:00:00.000+00:00,2021-05-19T00:00:00.000+00:00
Russia,3459,2020-12-17T00:00:00.000+00:00,2021-04-19T00:00:00.000+00:00
Russia,3346,2020-10-10T00:00:00.000+00:00,2021-04-23T00:00:00.000+00:00
Korea (Rep. of),3418,2020-11-26T00:00:00.000+00:00,
Spain,3409,2020-11-19T00:00:00.000+00:00,2021-02-12T00:00:00.000+00:00
Lithuania,3481,2020-12-31T00:00:00.000+00:00,2021-04-09T00:00:00.000+00:00
Afghanistan,3572,2021-02-07T00:00:00.000+00:00,2021-03-27T00:00:00.000+00:00
Hungary,3590,2021-03-02T00:00:00.000+00:00,2021-03-03T00:00:00.000+00:00
Hungary,3485,2020-12-22T00:00:00.000+00:00,2020-12-23T00:00:00.000+00:00
Israel,3328,2020-10-12T00:00:00.000+00:00,2020-12-14T00:00:00.000+00:00
Hungary,3493,2021-01-12T00:00:00.000+00:00,2021-02-05T00:00:00.000+00:00
Hungary,3484,2021-01-04T00:00:00.000+00:00,2021-01-13T00:00:00.000+00:00
Ireland,3440,2020-12-09T00:00:00.000+00:00,2020-12-11T00:00:00.000+00:00
Sweden,3577,2021-02-28T00:00:00.000+00:00,2021-03-03T00:00:00.000+00:00
United Kingdom,3598,2020-11-21T00:00:00.000+00:00,2021-02-12T00:00:00.000+00:00
Russia,3284,2020-08-11T00:00:00.000+00:00,2021-01-26T00:00:00.000+00:00
Kuwait,3501,2020-11-04T00:00:00.000+00:00,2020-11-09T00:00:00.000+00:00
India,3530,2021-01-01T00:00:00.000+00:00,
Hong Kong,3527,2021-01-28T00:00:00.000+00:00,2021-01-28T00:00:00.000+00:00
India,3511,2020-12-25T00:00:00.000+00:00,
Iran,3407,2020-11-19T00:00:00.000+00:00,2020-11-26T00:00:00.000+00:00
Russia,3264,2020-07-28T00:00:00.000+00:00,2020-10-23T00:00:00.000+00:00
Russia,3293,2020-08-14T00:00:00.000+00:00,2020-10-06T00:00:00.000+00:00
Iraq,3196,2020-05-09T00:00:00.000+00:00,2020-05-15T00:00:00.000+00:00
Bulgaria,3223,2020-06-04T00:00:00.000+00:00,2020-07-10T00:00:00.000+00:00
Sweden,3390,2020-11-13T00:00:00.000+00:00,2020-11-19T00:00:00.000+00:00
Romania,3520,2021-01-13T00:00:00.000+00:00,2021-04-26T00:00:00.000+00:00
Hungary,3187,2020-04-26T00:00:00.000+00:00,2020-05-19T00:00:00.000+00:00
Hong Kong,3492,2021-01-06T00:00:00.000+00:00,2021-01-06T00:00:00.000+00:00
Hungary,3167,2020-03-29T00:00:00.000+00:00,2020-05-09T00:00:00.000+00:00
Hungary,3158,2020-03-22T00:00:00.000+00:00,2020-06-08T00:00:00.000+00:00
Germany,3157,2020-03-20T00:00:00.000+00:00,2020-04-25T00:00:00.000+00:00
Germany,3163,2020-03-27T00:00:00.000+00:00,2020-05-13T00:00:00.000+00:00
Bulgaria,3137,2020-02-17T00:00:00.000+00:00,2020-03-18T00:00:00.000+00:00
Israel,2883,2019-04-20T00:00:00.000+00:00,2019-04-22T00:00:00.000+00:00
Germany,3150,2020-03-12T00:00:00.000+00:00,2020-05-25T00:00:00.000+00:00
Ukraine,3106,2020-01-18T00:00:00.000+00:00,2020-03-04T00:00:00.000+00:00
Romania,3098,2020-01-13T00:00:00.000+00:00,2020-02-21T00:00:00.000+00:00
Poland,3097,2019-12-31T00:00:00.000+00:00,2020-05-13T00:00:00.000+00:00
Poland,3088,2019-12-30T00:00:00.000+00:00,2020-02-08T00:00:00.000+00:00
Poland,3105,2020-01-06T00:00:00.000+00:00,2020-01-07T00:00:00.000+00:00
Germany,3127,2020-02-06T00:00:00.000+00:00,2020-03-15T00:00:00.000+00:00
Czech Republic,3104,2020-01-17T00:00:00.000+00:00,2020-03-25T00:00:00.000+00:00
Saudi Arabia,3118,2020-01-30T00:00:00.000+00:00,2020-02-03T00:00:00.000+00:00
Israel,3116,2020-01-27T00:00:00.000+00:00,2020-02-03T00:00:00.000+00:00
Slovakia,3092,2020-01-09T00:00:00.000+00:00,2020-03-04T00:00:00.000+00:00
Hungary,3100,2020-01-10T00:00:00.000+00:00,2020-01-20T00:00:00.000+00:00
Hungary,3095,2020-01-09T00:00:00.000+00:00,2020-01-31T00:00:00.000+00:00
Germany,3110,2020-01-16T00:00:00.000+00:00,2020-01-20T00:00:00.000+00:00
Iraq,2845,2019-03-17T00:00:00.000+00:00,2019-03-17T00:00:00.000+00:00
Namibia,2803,2019-02-02T00:00:00.000+00:00,2019-06-20T00:00:00.000+00:00
Bulgaria,2836,2019-03-13T00:00:00.000+00:00,2019-04-05T00:00:00.000+00:00
Kuwait,2799,2019-01-24T00:00:00.000+00:00,2019-02-08T00:00:00.000+00:00
Pakistan,2822,2019-01-02T00:00:00.000+00:00,2019-02-22T00:00:00.000+00:00
Sweden,3570,2021-02-23T00:00:00.000+00:00,2021-03-21T00:00:00.000+00:00
India,3506,2020-12-27T00:00:00.000+00:00,
